video_code,points
C000002,"[319.97837744911834, 458.4282806183457, 281.44124941973814, 1078.4571373469191, 549.2742892239306, 1070.757891591367]"
C000002,"[937.8863696145634, 374.437976960177, 918.4040058623141, 349.346186585905, 887.8545734608416, 351.58684382445693, 867.1145918304844, 354.1075832178279, 847.2154202662226, 358.30881554011273, 838.2467795612032, 364.47062294613056, 841.3297498035536, 375.1137448292523, 858.7064911695287, 382.95604516418405, 903.8299647166575, 393.3190848924868, 933.5385870520342, 399.76097445332357, 949.5139783078502, 404.5223710852465, 1551.6867344374784, 551.1608314519605, 1690.4203953432475, 586.591224036563, 1917.0187081560032, 649.7497499482456, 1918.5601932771783, 597.3743869970941]"
C000004,"[598.7335772373233, 297.614104014937, 601.8182177121284, 309.9396476472908, 589.479655812908, 330.48222036788053, 534.9843407580178, 361.29607944876506, 547.837009403039, 362.32320808479454, 580.7398411342936, 352.05192172449966, 614.1567796113488, 353.59261467854395, 783.2978989798294, 308.91251901126134, 806.9468092866687, 297.1005396969223, 812.0878767446771, 289.91063924471587, 715.9499152799177, 289.91063924471587]"
C000004,"[1918.463994514266, 398.46493533781353, 1676.7116409819205, 380.36623241166467, 1587.2570672125719, 398.8545478601954, 1558.878374844365, 481.43569019696594, 1466.3127682030622, 704.4823956614819, 1250.3879349667043, 1074.2487046320964, 1918.463994514266, 1078.4571373469191]"
C000006,"[1918.463994514266, 485.31828052393143, 1792.489612751867, 523.45166235463, 1744.3161265987926, 545.7910213949264, 1690.3349182897032, 564.2793368434571, 1671.160420742866, 562.4825505237504, 1640.9806706928214, 592.0118100162532, 1574.9511703603812, 703.2441174255495, 1412.7172755572428, 930.964259905983, 1289.3316565650384, 1074.2487046320962, 1918.463994514266, 1078.4571373469191]"
C000006,"[714.0215578042354, 286.28378755484005, 679.0622990897774, 321.2061611798425, 676.4917653607731, 330.9638832221226, 669.2942709195612, 340.20804094638794, 692.4290744805995, 344.83011980852064, 825.5827216430204, 339.1809123103585, 1029.4302152049866, 332.2250121772743, 1048.9662715454187, 334.79283376734804, 1090.094811209487, 332.7385764952891, 1106.0321203293136, 328.1164976331564, 1116.8283619911315, 321.44016149896476, 1106.0321203293136, 315.7909540008026, 1067.4741143942497, 313.7366967287436, 1017.6057600515668, 302.951846050434, 960.5399112676722, 297.30263855227184, 815.047702206031, 282.4092733298444, 751.2984657267253, 281.38214469381484]"
C000007,"[1140.8831981111227, 1078.4571373469191, 1361.4349920596883, 682.5269786415925, 1489.4475717641005, 431.3940271323835, 1543.4287800731902, 426.7719482702508, 1572.7328645838386, 436.0161059945162, 1597.4099883822796, 446.8009566728258, 1654.4758371661742, 459.12650030517966, 1702.2877645256533, 465.2892721213565, 1787.115377582794, 493.02174529415254, 1916.6702775246088, 537.7018409614352, 1918.463994514266, 1078.4571373469191]"
C000008,"[1189.2488891536943, 1074.5693145371847, 1412.8428758245745, 568.2407718291545, 1455.2486319173274, 462.35457468488966, 1657.6397405418309, 387.27163489168356, 1728.95851215237, 387.27163489168356, 1914.0018114662014, 423.85050299606604, 1917.8568802019056, 516.2602750492426, 1775.2193369808278, 560.5399574913898, 1759.7990620380087, 660.650543882331, 1807.9874212343186, 939.8050636263023, 1821.4801618092856, 1078.4197217060673]"
C000008,"[9.597856028018322, 458.5041675160073, 294.8729424701753, 362.24398829394835, 553.1625477623985, 287.1610485007423, 655.3218692585764, 262.1334019030069, 738.20584707623, 242.88136605859523, 774.8290000654258, 217.85371946085988, 757.4811907547542, 198.6016836164481, 695.800090983477, 181.27485135647748, 628.3363881086426, 183.20005494091868, 524.2495322446124, 223.62933021418345, 560.8726852338082, 260.2081983185658, 368.119248448567, 304.4878807607129, 188.85855223829267, 352.6179703717424, 11.52539039587079, 412.2992814894189]"
C000009,"[229.62300316636123, 397.2479672886236, 439.378555453109, 378.7596518400929, 587.4412982437544, 338.70163503494297, 684.6074732001156, 304.80639004597, 724.707799372582, 290.94015345957195, 684.6074732001156, 281.6959957353066, 658.3880291642721, 298.64361822979305, 570.4757756323263, 304.80639004597, 550.4256125460931, 283.2366886893508, 507.24064589882147, 294.02153936766047, 306.7390150364891, 363.35272229965057]"
C000012,"[133.63856509676924, 371.7978726163954, 184.16920636341166, 448.1403604526185, 217.87250708641602, 508.09027438054915, 302.10644907606286, 634.9014655871964, 504.97974598070505, 886.1535453611147, 704.2938622378974, 1078.4571373469191, 0.7624875919742649, 1078.4571373469191, 0.385715663270226, 411.5488134572425]"
C000033,"[962.8458954921763, 233.470575464561, 928.5906705771716, 288.2421968513861, 997.9575010300562, 277.11671125718726, 1132.4092588214494, 257.43315982129695, 1023.6489197163096, 247.16348081126725]"
C000033,"[737.6177916760206, 221.48928328619297, 735.9050304302705, 234.32638204873015, 761.5964491165239, 239.46122155374496, 668.2509612231363, 291.6654231880627, 671.6764837146367, 306.21413511893815, 596.3149889016265, 324.18607338649014, 467.00151484748386, 353.28349724824096, 322.27318958158924, 386.6599540308376, 9.754496812607355, 467.30062266782494, 3.973927608200312, 515.4397430273392, 356.5886490770294, 411.45924305078836, 698.1911606241248, 332.108862500188, 771.9143620716349, 282.5464985822186, 831.563134151893, 247.71889150472646, 857.0311491973963, 228.29580294227893, 782.6377368276362, 222.26794787117458]"
C000035,"[287.58038609289923, 475.91379662419433, 250.14431886435844, 383.92681463435673, 5.900784009669341, 469.22618748220543, 5.900784009669341, 509.6630485841974, 92.60932207577486, 513.5141782129587, 185.09842934628745, 509.6630485841974]"
C000036,"[1661.132178040919, 1067.2122017059535, 1910.8527676713027, 1074.9144609634757, 1913.9357379136532, 745.257764741522, 1866.149699157222, 740.6364091870087, 1789.0754430984614, 740.6364091870087]"
C000036,"[0.7066493622310566, 609.7924189319871, 2.6335057637001293, 650.2292800339791, 409.2002064736615, 476.9284467397277, 848.1405200623441, 328.9895961542218, 929.2360416546051, 265.362237070342, 972.1295406786109, 231.87415334198425, 927.5245784688257, 222.75389124149234, 872.9383241855974, 272.0598538160136, 831.1817583953753, 303.6276134454764, 664.502727365819, 353.7707781132065, 332.12595041490096, 469.22618748220543]"
C000037,"[1434.533865228163, 1078.4571373469191, 1750.2542585274787, 623.9543237880945, 1795.2413835831621, 549.620379600456, 1918.463994514266, 532.675409233907, 1918.463994514266, 1078.4571373469191]"
C000038,"[1453.0316866822657, 330.8762166868231, 1599.4727731939106, 317.012150023283, 1602.5557434362609, 284.66266114168945, 1641.0928714656413, 261.5558833691226, 1698.1278209491238, 233.82775004204234, 1537.8133683469023, 212.26142412097997, 1471.5295081363681, 216.8827796754933]"
C000039,"[1.542862653080904, 511.588613398578, 5.900784009669341, 1071.9279743833242, 562.7622840342138, 1071.9279743833242, 429.8091923328519, 867.8181040589835, 227.48927017860566, 935.2128725623035, 115.73159889340303, 507.7374837698169]"
C000040,"[1.5428750512282732, 560.7165806054264, 223.85217130873346, 547.2212467616904, 356.8502885219306, 603.1304869714539, 960.1605883441156, 1078.4571249487717, 0.3857187628070683, 1078.4571249487717]"
