video_code,points
C000002,"[693.384791963281, 421.1513871090397, 874.1589561738283, 395.9439931753305, 935.3512443174502, 409.48129732491503, 729.8198948274223, 439.35672717227425]"
C000004,"[857.6511032471493, 450.8659718672281, 973.3251210523409, 408.0347077447986, 1143.5972752615833, 439.46484400730077, 1482.3231614460908, 513.8816322222154, 1432.748582386723, 589.2655374736651, 1167.7999987472122, 525.4368293775472]"
C000006,"[1193.4371937641647, 417.5020441936127, 1250.1725453543304, 399.89412471882156, 1411.0145129691684, 453.81837811036945, 1575.879683742664, 519.0351627822131, 1652.32512159653, 553.8682208736479, 1593.3146081654754, 598.749276491458, 1431.706270246338, 532.4324928173803, 1302.2854851077755, 470.13490815385285]"
C000007,"[891.0273196519084, 428.3126412242951, 1151.6794397729404, 486.85897347797567, 1403.0776384695573, 550.027384593789, 1426.2124420305956, 503.80659597246216, 1180.983524283589, 460.6671932592238, 951.1778089106082, 412.9057116838528]"
C000008,"[582.3743074722107, 394.8518505397149, 1005.8387809019406, 558.3460626337965, 1294.0793048331013, 679.1896107033351, 1386.6009544900169, 481.33791925614946, 1098.3604305588563, 392.4823692050181, 784.024056724463, 324.9521511661582]"
C000009,"[934.2779561633884, 330.259687040331, 886.6674672127184, 344.9967860590637, 988.5941477831667, 355.71467625450566, 1102.59109315801, 373.80111595931396, 1239.3874276078222, 397.91636889905834, 1256.8222545475044, 379.16006105703497, 1173.0009711836487, 365.7626983127325, 1022.1226611287088, 342.98718164741837]"
C000011,"[697.2166451325596, 224.39899893459554, 715.41592217652, 230.8699251400936, 727.1374904421215, 235.183875943759, 767.23759240339, 227.4803923657851, 808.084206536897, 219.9090892765241, 863.1693747876553, 210.5327284942425, 913.1402710778514, 203.13738425938755, 881.3686518316157, 192.968785936462, 844.3531730981371, 198.82343345572218, 781.7353215740025, 209.60831046488565, 730.8390383154693, 218.23621207221643]"
C000012,"[1099.737492729857, 214.85536327273934, 1033.3072348849555, 241.09042379133524, 959.2769707501391, 267.6792506645604, 850.2591986042663, 312.04356200951594, 805.9206010567339, 329.20439184785835, 836.7668333346327, 336.0519328060573, 913.0076223332908, 354.0683165032678, 950.6245637477195, 362.8608271094886, 998.296013631745, 336.71567072363774, 1072.6073913921377, 297.964813937466, 1143.803538841141, 262.7270112215772, 1204.9451778205475, 233.56382339067596]"
C000033,"[1283.1011416351582, 325.45620323105527, 1241.5480644556526, 330.8142966275925, 1393.015732884173, 370.99999710162183, 1616.1959699934534, 437.30640288377015, 1623.5682901382045, 411.18569757565115, 1428.536911763428, 356.93500193571157]"
C000035,"[794.9180751739484, 300.8541353859877, 857.1591725195135, 285.4496168709432, 965.6448235003348, 265.1040263793749, 1087.800248197238, 241.85192296043968, 1113.322776954729, 261.9406629728654, 1038.9936313857327, 277.55620228948595, 971.9928692025746, 290.01556096381086, 875.588879084633, 315.4452423219797]"
C000036,"[1234.2222015865393, 316.0380391044154, 1292.4560839420471, 292.0754547476794, 1472.2960147458216, 330.5867510352909, 1557.0776964104582, 352.83772222368856, 1691.5294542018512, 385.358372422116, 1709.5134472822285, 388.78159875879254, 1685.5347898417256, 429.8603147989114, 1477.4342984830723, 374.2328868279171]"
C000037,"[1009.0839717838054, 437.16739444063063, 1278.8438679894668, 581.9698684820495, 1577.8919814974577, 763.7431869595755, 1710.4597019185255, 603.536194403112, 1189.4377309613049, 400.1965500045237]"
C000038,"[924.612004625712, 273.82505928372825, 1177.5002737225122, 284.6060788800928, 1439.6405526643173, 307.7082637294454, 1451.9765657909907, 273.82505928372825, 1268.478370531727, 255.34331140424612, 1010.9640965124242, 241.48200049463455]"
C000039,"[622.1524601408425, 256.0412560363064, 656.4076850558472, 264.59932187799785, 1068.3267646587783, 239.7809309370927, 956.997283685013, 231.2228650954013, 769.4499272753625, 237.21351118458526]"
C000040,"[952.1991197979344, 337.4876055714603, 1166.2487797196409, 370.71329740526386, 1275.1512382762987, 275.32340794692453, 1123.3315546726822, 259.24646028540667]"
C000041,"[1136.8930594103779, 362.8316328604141, 1322.727654574278, 331.1667892461559, 1631.881059432195, 454.40293736651245, 1440.051799908169, 509.1745587533376]"
C000042,"[1175.564364870728, 209.18052041797105, 1309.673570412971, 232.28729819053794, 1588.682377345684, 286.2031129931939, 1593.3068327092094, 263.096335220627, 1229.5163441118602, 193.77600190292645]"
C000043,"[989.9632624706276, 297.83191096946655, 944.8840381441508, 322.43696887254697, 957.4310100606932, 323.8699473390627, 1005.3781136823796, 328.64094799955564, 1041.2266048725007, 334.7311064822477, 1113.9990419884468, 345.478444981116, 1194.3434958267344, 361.6460822980158, 1248.162273612576, 372.949459817228, 1266.9208971257606, 338.9540139898227, 1200.8188589313395, 326.6419138553585, 1089.742719746988, 309.93091299750904]"
C000044,"[394.8398155198351, 343.8410589035058, 241.5939437882972, 396.3593759582624, 573.0156741938955, 471.1677193071112, 1176.7253482832643, 594.2283827613635, 1236.3741203635223, 436.1646275635149, 650.4635533148412, 368.0226538352509]"
C000045,"[224.58839735719198, 396.98936689894134, 628.6740401976666, 477.0673909457255, 1196.244714111005, 594.1045030141023, 1248.6833089834329, 433.948454920534, 866.1900287374876, 381.58974688994437, 400.4119213412156, 333.85092486205383]"
C000046,"[1356.2025538058235, 517.0348485366642, 1409.4111500000167, 396.62644613472344, 1310.0709977465033, 375.23128153049487, 841.6307970338145, 293.9296560344263, 738.37497480314, 282.6890180536021, 649.4431408891858, 275.57924027742774, 543.9106979779598, 306.3882773075169, 514.8972548457125, 315.1221597285838, 732.2361851909886, 357.6315699896812, 1157.8201208197966, 460.1051061984559]"
C000047,"[1325.9317117978894, 504.7008780362259, 1388.175349950207, 388.10317560538135, 1117.167651092329, 334.75422685164585, 932.3014126574477, 303.4152343729234, 786.8826474166355, 283.6156245261763, 663.4970284244307, 272.06585211557376, 519.1799204960486, 311.6650718090681, 662.3953711120004, 338.06455160473104, 817.1782235084713, 370.5139121869001, 1000.0533373719173, 415.6130235044909]"
C000048,"[295.68227753676297, 441.6392219291259, 181.66074570021684, 495.0132278370867, 413.0087813106004, 542.334511425588, 757.21070913793, 599.7342999891841, 997.2762069597194, 633.2276250771022, 1038.2414685120277, 522.0975080944363, 556.3862862000572, 471.71931474019107]"
C000049,"[283.5307837375555, 439.43995881751863, 161.92473528928898, 494.21158020434376, 192.7544377127932, 499.34641970935866, 317.7860086525601, 525.020617234433, 519.0354550282125, 561.820300353706, 729.7050882554912, 592.6293373837952, 921.5343477795172, 623.4383744138844, 989.1884169866513, 631.9964402555757, 1024.3000225245312, 521.5973908977563, 901.8375934533894, 507.0486789668809, 544.7268737144659, 471.1048024317769]"
C000050,"[1530.0706310769842, 306.0471706414156, 1638.1953971938372, 316.4217030523428, 1645.9881731301869, 404.2810244073825, 1491.4314503925834, 378.3446933800645]"
C000051,"[1597.5375752601162, 362.22662605930844, 1599.0790603812914, 394.576114940902, 1453.4087164302343, 373.0097890198397, 1484.2384188537385, 302.14900385063464, 1593.683862457178, 315.24284458842254]"
C000060,"[526.0970144202252, 450.43184922389446, 402.4306656949318, 492.3374251427527, 623.7438866636584, 523.1464621728418, 872.1292994002483, 554.5781267427435, 1275.0930903747162, 610.2808333889894, 1301.1797616561428, 521.4086111868091, 1222.9197478118629, 510.7439445225475, 854.2131330703768, 476.83959524968515]"
C000061,"[1110.8219897813692, 592.7530314425808, 1026.0403081167326, 723.6914388204597, 653.000908792332, 615.8598092151476, 266.0881433773544, 494.1641129462955, 4.035672777568899, 403.27745370753263, 153.5597295315641, 361.6852537169123]"
C000062,"[1112.4955730838385, 594.5934235444745, 1024.9387286483359, 728.9204970405851, 706.1578232035831, 634.0288946625988, 105.95093258514129, 443.33968482617144, 2.6494423657309922, 408.21874399620816, 1.4719124254061458, 397.1262421096195, 154.76490102042746, 365.46147580383405, 577.6266074087326, 462.1344271655187, 1112.524935210131, 594.6129629529673]"
C000063,"[1278.8438679894668, 635.8856832847056, 796.3590250616264, 532.675409233907, 300.0008160432091, 432.5460388861173, 131.9789378351113, 466.43597961921535, 1170.9399095072024, 714.4487277114329, 1257.2630762930141, 731.3936980779819]"
C000065,"[564.4466698899178, 494.32839957888336, 421.2470163299883, 559.2290801844781, 692.2547151878662, 602.6986313878688, 1106.6548455166728, 666.9974164998621, 1319.152300447692, 698.6672161107712, 1361.1376846880949, 579.6914824373558, 879.9028972036624, 527.459721393188]"
C000067,"[1430.0257375530675, 369.7990934336124, 1442.7271983316768, 337.8673697101819, 1375.137282045506, 323.3735376655042, 1310.2691073547514, 312.50316363199596, 1158.8568775894876, 290.67842726332395, 1014.9246059704021, 280.01865950338737, 956.1043365985779, 299.86763400476525, 1062.5413815533918, 308.3290057341444, 1125.5900769724853, 314.75964824847256, 1279.0784014465532, 337.24589823265705]"
C000068,"[611.9648239702599, 495.9273401513746, 739.5546641152387, 417.9143499830389, 866.2577055323459, 443.3727405831832, 963.4637425983807, 466.8212582412109, 1070.0551901397569, 491.6096911939831, 1163.90929489317, 516.3981241467551, 1238.4466784040162, 534.7659397644746, 1188.5211241148866, 674.2317825877237, 1094.1891027906345, 644.360034794849, 761.7483135971352, 538.3021613476674]"
C000080,"[1135.1020349416272, 475.20737947021803, 1111.5817828297293, 499.07679048416327, 929.2034344866524, 489.8370184787651, 822.3983552244276, 484.06216097539124, 887.9465988149627, 462.5026929627955, 1001.3065024362409, 468.66254096639426]"
C000084,"[1132.9719811427233, 477.2097671872796, 889.0881590207655, 461.40283249397316, 818.0737349419926, 485.31588754282143, 1110.247365437516, 498.2856801116883]"
C000101,"[1110.8219897813692, 266.17723892363597, 1345.127728200001, 333.957120389832, 1559.394160043355, 396.0886815835388, 1528.564457619851, 438.7078462921351, 1192.5207012036553, 330.8762166868231, 1052.2455551767114, 289.2840166962028]"
C000102,"[858.018429908635, 307.7694389142563, 751.6559565475454, 340.11892779584986, 976.7127842391261, 464.8955277677108, 1192.5207012036553, 560.4035425609871, 1312.7565406553217, 620.481164769661, 1408.3286181681847, 523.4326981248802]"
C000103,"[850.7593714012983, 443.49786811498154, 1005.7816593782444, 397.6655839793551, 1276.1150579270561, 521.3434068456372, 1560.7678456020544, 664.0602278518393, 1414.6532967954963, 819.7513053131506]"
C000104,"[909.2094815124932, 374.201425914441, 844.3374028418314, 392.69935037871244, 779.8752977745044, 413.70551199013687, 833.3209832392523, 446.48416663888094, 968.2926466020156, 521.022539010927, 1143.9895230453328, 617.1188332670669, 1328.8661227725647, 721.9510413810734, 1411.9707825727153, 585.1248332742821]"
C000105,"[892.0786762124529, 479.07299126502636, 730.5121386647713, 561.6267816180679, 865.3451254308086, 625.9523862172425, 1230.226499178456, 804.6396034868125, 1325.8503538974144, 633.930824178712, 1095.1166427867358, 552.3826238938025]"
C000106,"[1327.5422919304845, 621.7680632568267, 1408.8984511036206, 519.9270797406988, 832.5542919086672, 310.25446661925884, 724.6503334264027, 335.9286641443331, 868.5222780694222, 408.67222379871026, 1037.22926077582, 489.97384929477874]"
C000107,"[858.8962507234422, 439.4940646709751, 1006.510651523408, 397.07402624734146, 1561.4753430921755, 665.8464799200405, 1418.5008408435829, 818.2791467034892, 1090.7117506296106, 599.47816805352]"
C000108,"[771.9538421831313, 417.0586053497144, 994.0020784632486, 535.6498209097246, 1350.2044574959368, 735.8687562707806, 1419.5945313334735, 589.5549188915473, 1078.8121687091268, 447.8615184821846, 898.3979767315315, 375.47467262087974]"
C000109,"[1224.7211038533958, 797.5545029554321, 1318.395968909428, 645.879243730378, 878.4798304817334, 483.53931784106214, 742.1176851470035, 564.1167993043722]"
C000110,"[728.1548282715239, 560.5128037172381, 896.3750683180208, 479.8422231699582, 1080.8098117464347, 548.4593551885628, 1343.5630416597803, 639.8480321879584, 1249.4859309038795, 809.8329178176352]"
C000111,"[1206.1083734805286, 449.3497744545116, 1168.475759687906, 555.9657268743721, 1148.1171325541925, 551.0355094214306, 1045.7070687906626, 524.5355906118699, 929.7245869379904, 497.4193946206915, 776.1094912926956, 464.14042681333615, 711.3320413217882, 448.1172200912763, 824.2298826996555, 378.4778985684772, 945.1477893120159, 399.4313227434787, 1058.0456306898832, 419.76846973686247]"
C000112,"[811.7738762733785, 386.3324833409836, 708.4943731546396, 451.0314611041708, 1161.6909987801512, 549.620379600456, 1192.5207012036553, 446.41010554965743]"
C000113,"[811.2956874003361, 375.5800063462343, 973.1742176218468, 398.6903999681543, 1199.804159931962, 451.07395884450625, 1165.8867535998356, 551.2189978728262, 953.132113880136, 497.29474608834636, 791.2535836586253, 460.31811629327433, 726.502171570021, 454.1553446607623, 714.1685692674297, 446.4518801201223]"
C000114,"[713.216196585065, 449.0056585584466, 822.4990146580888, 378.69387547450793, 963.9632760900397, 406.14895267871265, 1203.3204714312337, 450.40211613670476, 1164.7697840741853, 555.6465787528226, 922.3287946954155, 493.18441801317533]"
C000115,"[839.7454760030382, 420.22410904282464, 1013.186758383228, 442.5641562106806, 1221.3162972394562, 473.3780143732407, 1191.2531416268898, 577.3747856718807, 946.122795862888, 528.0726126117846, 736.4515567188361, 494.1773686329687]"
